CCAA;Nombre CCAA;Cod_Provincia_INE;Cod_Provincia_Catastro;Nombre Provincia;Cod_Municipio_Ine_Corto;Cod_Municipio_Ine;Cod_Municipio_Catastro;Nombre Municipio_Ine;Nombre Municipio_Catastro;;;;;;;;
07;CASTILLA LA MANCHA;19;19;GUADALAJARA;2;0024;2;ABLANQUE;ABLANQUE;;;;;;;;
14;COMUNIDAD FORAL DE NAVARRA;31;31;NAVARRA;6;0060;6;ABLITAS;ABLITAS;;;;;;;;
09;CATALUÑA;08;8;BARCELONA;1;0018;1;ABRERA;ABRERA;;;;;;;;
01;ANDALUCIA;04;4;ALMERÍA;2;0025;2;ABRUCENA;ABRUCENA;;;;;;;;
08;CASTILLA Y LEÓN;37;37;SALAMANCA;1;0016;1;ABUSEJO;ABUSEJO;;;;;;;;
08;CASTILLA Y LEÓN;24;24;LEÓN;1;0016;1;ACEBEDO;ACEBEDO;;;;;;;;
10;EXTREMADURA;10;10;CÁCERES;3;0036;3;ACEBO;ACEBO;;;;;;;;
10;EXTREMADURA;06;6;BADAJOZ;1;0016;1;ACEDERA;ACEDERA;;;;;;;;
10;EXTREMADURA;10;10;CÁCERES;4;0041;4;ACEHUCHE;ACEHUCHE;;;;;;;;
10;EXTREMADURA;10;10;CÁCERES;5;0054;5;ACEITUNA;ACEITUNA;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;2;0021;2;ACERED;ACERED;;;;;;;;
10;EXTREMADURA;06;6;BADAJOZ;2;0021;2;ACEUCHAL;ACEUCHAL;;;;;;;;
02;ARAGÓN;22;22;HUESCA;3;0036;5;ADAHUESCA;ADAHUESCA;;;;;;;;
08;CASTILLA Y LEÓN;47;47;VALLADOLID;1;0014;1;ADALIA;ADALIA;;;;;;;;
01;ANDALUCIA;14;14;CÓRDOBA;1;0018;1;ADAMUZ;ADAMUZ;;;;;;;;
08;CASTILLA Y LEÓN;05;5;ÁVILA;1;0013;1;ADANERO;ADANERO;;;;;;;;
05;ISLAS CANARIAS;38;38;SANTA CRUZ DE TENERIFE;1;0012;1;ADEJE;ADEJE;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;1;0018;1;ADEMUZ;ADEMUZ;;;;;;;;
14;COMUNIDAD FORAL DE NAVARRA;31;31;NAVARRA;7;0076;7;ADIÓS;ADIÓS;;;;;;;;
07;CASTILLA LA MANCHA;19;19;GUADALAJARA;3;0030;3;ADOBES;ADOBES;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;2;0023;2;ADOR;ADOR;;;;;;;;
01;ANDALUCIA;04;4;ALMERÍA;3;0031;3;ADRA;ADRA;;;;;;;;
08;CASTILLA Y LEÓN;09;9;BURGOS;3;0032;3;ADRADA DE HAZA;ADRADA DE HAZA;;;;;;;;
08;CASTILLA Y LEÓN;40;40;SEGOVIA;2;0024;2;ADRADA DE PIRON;ADRADA DE PIRON;;;;;;;;
